sale_id,date_key,product_key,customer_key,store_key,units,unit_price,cost,sales_amount
75,20240912,18,160,7,4,414.09,267.93,1656.36
76,20240703,11,320,1,10,373.33,259.72,3733.3
77,20240716,14,164,7,10,477.13,397.64,4771.3
78,20240929,14,376,5,5,328.76,191.51,1643.8
79,20240719,16,75,8,6,249.97,197.01,1499.82
80,20240818,14,69,4,4,339.46,260.33,1357.84
81,20240201,21,287,7,8,208.85,134.07,1670.8
82,20241107,2,306,7,3,165.82,129.69,497.46
83,20240613,13,272,3,8,45.71,33.02,365.68
84,20240226,15,124,6,10,192.11,115.54,1921.1
85,20241024,7,4,4,2,402.58,255.93,805.16
86,20240925,40,129,4,3,472.99,306.74,1418.97
87,20240120,31,187,7,4,487.7,315.5,1950.8
88,20240311,42,166,2,9,107.23,82.99,965.07
89,20240106,26,369,1,7,287.86,215.34,2015.02
90,20240409,5,346,4,2,290.0,230.83,580.0
91,20240206,41,311,7,4,92.14,64.8,368.56
92,20240916,21,9,2,7,292.91,191.9,2050.37
93,20240710,31,51,3,10,184.57,105.26,1845.7
94,20241224,18,174,6,5,471.49,371.68,2357.45
95,20241001,23,249,4,1,131.33,75.18,131.33
96,20240811,23,273,5,2,418.31,267.9,836.62
97,20240705,13,119,5,1,448.94,337.0,448.94
98,20240120,25,45,7,2,369.26,287.75,738.52
99,20240126,34,132,8,5,111.27,63.49,556.35
100,20240813,1,317,4,3,133.88,98.04,401.64
101,20240102,6,395,4,4,485.7,287.12,1942.8
102,20240116,38,377,3,8,42.54,33.06,340.32
103,20240321,26,238,4,5,62.96,48.41,314.8
104,20241119,44,37,7,8,489.39,378.99,3915.12
105,20240616,28,388,5,6,389.56,221.71,2337.36
106,20240916,30,62,6,3,374.46,268.8,1123.38
107,20240530,41,108,4,10,84.3,52.46,843.0
108,20240304,30,390,6,5,247.02,172.6,1235.1
109,20240515,15,202,6,9,421.18,356.67,3790.62
110,20240203,24,80,5,1,167.79,96.84,167.79
111,20241008,11,201,8,9,100.42,73.13,903.78
112,20240308,16,32,8,8,10.42,6.25,83.36
113,20240517,31,127,2,3,313.16,220.16,939.48
114,20241224,7,381,2,8,150.44,106.25,1203.52
115,20240804,31,120,8,8,432.52,297.08,3460.16
116,20240616,27,358,4,9,145.34,107.83,1308.06
117,20240717,14,218,3,3,80.03,67.41,240.09
118,20241013,3,263,7,9,480.42,380.28,4323.78
119,20240403,32,282,5,8,482.56,404.17,3860.48
120,20240820,38,221,2,4,344.09,208.81,1376.36
121,20241115,33,14,1,4,464.55,393.92,1858.2
122,20240728,19,368,7,3,85.11,54.6,255.33
123,20240612,30,191,7,5,232.87,130.47,1164.35
124,20240223,19,263,3,9,106.06,72.21,954.54
125,20240331,17,222,7,9,242.0,150.97,2178.0
126,20241212,15,264,2,2,396.63,308.83,793.26
127,20240717,10,142,7,2,423.24,243.82,846.48
128,20240420,44,338,1,1,7.06,5.04,7.06
129,20240602,30,90,6,7,197.8,125.96,1384.6
130,20240730,8,262,7,4,497.06,304.21,1988.24
131,20240715,39,232,5,8,296.71,241.13,2373.68
132,20240913,7,202,7,8,151.62,106.84,1212.96
133,20240404,27,9,3,2,197.55,127.94,395.1
134,20240825,8,156,3,7,164.67,127.43,1152.69
135,20240611,17,20,3,8,226.56,182.6,1812.48
136,20241210,30,202,1,10,225.02,153.6,2250.2
137,20240227,45,276,3,8,255.9,154.73,2047.2
138,20240224,45,209,2,4,234.93,199.29,939.72
139,20240617,41,303,7,10,260.48,171.32,2604.8
140,20240705,11,145,2,3,18.85,11.53,56.55
141,20240909,5,123,2,9,31.94,18.56,287.46
142,20240527,41,180,6,4,188.72,110.81,754.88
143,20241130,42,92,5,10,443.05,369.02,4430.5
144,20240622,13,321,2,8,396.46,330.65,3171.68
145,20240217,1,324,6,6,59.53,41.81,357.18
146,20240213,30,167,2,3,249.94,189.36,749.82
147,20241222,4,318,7,2,304.27,243.35,608.54
148,20240219,2,11,1,10,243.19,174.42,2431.9
149,20241212,43,62,5,9,350.3,262.76,3152.7
150,20240411,23,114,5,6,498.65,418.91,2991.9
151,20240204,6,156,3,9,52.75,31.74,474.75
152,20240421,30,93,6,8,260.19,153.94,2081.52
153,20240812,17,205,4,4,258.62,200.67,1034.48
154,20240605,25,318,6,9,283.38,215.65,2550.42
155,20241014,41,183,2,8,87.65,53.1,701.2
156,20240811,11,180,5,5,320.99,205.67,1604.95
157,20240526,30,24,7,1,26.95,20.36,26.95
158,20240820,38,113,8,8,371.86,259.67,2974.88
159,20241221,20,323,3,4,333.26,272.62,1333.04
160,20240530,44,325,4,4,168.56,135.04,674.24
161,20240226,21,42,4,8,494.55,344.27,3956.4
162,20240529,21,8,7,9,415.25,311.46,3737.25
163,20241103,40,333,8,1,272.07,202.16,272.07
164,20240320,29,70,6,9,495.3,286.1,4457.7
165,20241213,40,230,7,3,415.89,281.84,1247.67
166,20240803,36,331,1,6,73.3,49.99,439.8
167,20240808,33,315,7,9,297.57,243.77,2678.13
168,20240426,11,221,7,3,292.52,238.57,877.56
169,20241202,18,151,6,3,328.21,186.19,984.63
170,20240114,39,310,5,10,470.67,378.21,4706.7
171,20240419,28,278,8,4,248.56,182.32,994.24
172,20240602,13,336,6,10,43.3,24.03,433.0
173,20240623,15,206,7,4,242.27,160.99,969.08
174,20240622,35,377,2,7,394.96,322.46,2764.72
175,20240224,9,308,6,6,182.51,119.99,1095.06
176,20240323,6,26,4,10,18.42,13.87,184.2
177,20240204,35,118,7,6,155.11,111.63,930.66
178,20240728,13,320,8,6,342.66,249.1,2055.96
179,20240508,35,47,7,5,47.57,33.03,237.85
180,20240726,25,284,2,4,191.1,132.76,764.4
181,20240803,45,137,4,5,70.9,58.19,354.5
182,20240913,24,83,1,5,240.58,162.19,1202.9
183,20240719,40,216,8,8,75.05,45.59,600.4
184,20240825,39,373,3,1,58.97,39.86,58.97
185,20240802,10,360,5,6,350.41,269.77,2102.46
186,20240826,45,162,4,6,83.21,57.63,499.26
187,20240813,34,2,8,8,81.62,62.82,652.96
188,20240425,5,356,7,7,298.3,185.52,2088.1
189,20240331,1,359,7,5,26.58,19.27,132.9
190,20241015,13,243,6,2,21.33,17.26,42.66
191,20240505,1,252,1,4,218.57,154.92,874.28
192,20240719,17,211,8,3,185.72,137.63,557.16
193,20240313,45,5,1,3,274.59,206.94,823.77
194,20240606,22,64,4,8,496.77,383.46,3974.16
195,20240712,2,58,4,5,220.18,144.24,1100.9
196,20240817,23,366,4,8,290.15,214.15,2321.2
197,20240711,10,20,8,2,460.03,310.45,920.06
198,20240512,39,223,2,10,244.17,162.93,2441.7
199,20241218,5,146,5,5,391.65,271.24,1958.25
200,20240706,35,3,2,3,276.58,185.96,829.74
201,20241022,21,368,8,4,320.42,178.72,1281.68
202,20240926,1,8,6,9,466.59,360.49,4199.31
203,20240723,31,343,4,8,5.35,3.88,42.8
204,20241120,21,312,1,2,450.97,266.65,901.94
205,20240216,35,318,2,10,251.36,157.95,2513.6
206,20241203,28,65,2,2,305.35,223.92,610.7
207,20241107,36,353,4,3,227.78,160.68,683.34
208,20240703,21,240,8,8,134.15,102.9,1073.2
209,20240925,1,161,1,6,37.67,26.25,226.02
210,20240709,6,273,5,5,472.84,379.88,2364.2
211,20240408,21,137,3,10,313.82,179.89,3138.2
212,20241019,18,112,1,8,437.37,321.01,3498.96
213,20240331,36,116,5,10,148.95,98.53,1489.5
214,20240425,19,228,6,3,142.61,91.56,427.83
215,20240709,39,241,8,9,171.21,142.63,1540.89
216,20241102,9,97,5,3,119.36,96.58,358.08
217,20240520,18,99,3,9,251.5,152.19,2263.5
218,20240629,35,379,7,6,468.44,265.71,2810.64
219,20240116,6,206,2,6,438.65,355.38,2631.9
220,20240212,15,345,6,2,250.07,150.24,500.14
221,20240121,34,133,8,9,177.64,147.17,1598.76
222,20240127,27,116,1,3,307.79,194.89,923.37
223,20241113,36,114,8,6,308.07,207.48,1848.42
224,20241104,24,212,2,2,343.46,193.54,686.92
225,20241027,39,312,4,10,270.12,192.13,2701.2
226,20240121,40,201,3,4,18.24,11.06,72.96
227,20240129,44,118,2,8,42.64,28.97,341.12
228,20240412,6,385,6,8,487.02,402.19,3896.16
229,20240725,27,229,4,6,374.39,234.28,2246.34
230,20240502,6,158,5,2,474.38,351.27,948.76
231,20240627,11,4,4,3,173.07,105.68,519.21
232,20240304,14,225,6,7,269.8,197.75,1888.6
233,20240924,30,249,8,6,164.37,104.66,986.22
234,20240424,20,372,5,6,454.92,343.22,2729.52
235,20240125,39,93,2,3,147.43,115.17,442.29
236,20240928,14,66,3,6,348.44,283.7,2090.64
237,20241126,28,400,4,1,91.65,75.66,91.65
238,20240106,35,221,1,5,57.1,35.54,285.5
239,20240608,45,11,2,1,82.04,48.3,82.04
240,20241029,12,43,2,7,267.08,150.78,1869.56
241,20240915,34,191,8,6,423.05,324.1,2538.3
242,20241109,4,247,4,9,499.64,302.82,4496.76
243,20240531,25,98,8,5,313.23,247.47,1566.15
244,20240516,19,147,5,2,269.13,225.92,538.26
245,20240916,44,295,5,3,394.51,234.49,1183.53
246,20240226,35,388,8,9,36.55,23.21,328.95
247,20240328,42,197,6,10,405.65,286.88,4056.5
248,20240807,39,167,2,1,380.4,258.35,380.4
249,20240901,19,145,3,7,267.12,181.05,1869.84
250,20240213,34,55,6,5,16.38,10.08,81.9
251,20240705,2,22,1,3,105.09,85.83,315.27
252,20240513,26,334,2,6,188.01,141.85,1128.06
253,20240702,3,15,1,10,470.91,280.74,4709.1
254,20241216,33,329,6,2,321.05,177.01,642.1
255,20240129,44,99,4,9,257.5,200.54,2317.5
256,20241230,31,278,1,1,246.77,136.9,246.77
257,20240613,38,381,6,8,391.09,318.4,3128.72
258,20241009,11,300,6,1,165.2,117.1,165.2
259,20240604,45,292,6,1,51.79,42.94,51.79
260,20240423,25,106,2,1,340.14,265.84,340.14
261,20241009,31,240,7,9,167.86,137.36,1510.74
262,20240908,35,257,2,6,166.17,128.47,997.02
263,20240222,29,171,5,7,230.08,166.34,1610.56
264,20240915,15,16,5,2,125.15,75.33,250.3
265,20241002,28,365,2,10,461.24,354.37,4612.4
266,20240521,30,79,4,9,424.25,308.72,3818.25
267,20241204,39,390,1,5,495.59,340.17,2477.95
268,20240822,22,373,4,9,482.45,346.2,4342.05
269,20240502,23,8,6,2,160.66,99.56,321.32
270,20240104,23,296,3,3,193.4,129.83,580.2
271,20240904,6,254,5,1,350.64,205.92,350.64
272,20240317,5,93,8,2,12.84,8.64,25.68
273,20241003,1,326,2,9,496.97,342.95,4472.73
274,20240711,30,45,3,5,10.37,8.37,51.85
275,20240619,19,100,1,7,268.09,189.85,1876.63
276,20240229,39,380,5,9,336.01,276.42,3024.09
277,20240917,32,298,2,8,457.5,384.47,3660.0
278,20240301,7,45,7,4,323.85,182.88,1295.4
279,20240601,5,58,3,4,300.5,219.11,1202.0
280,20241102,17,103,6,2,153.68,98.32,307.36
281,20241202,42,29,2,9,297.51,239.61,2677.59
282,20241228,3,74,3,10,376.1,262.6,3761.0
283,20241216,9,229,2,6,260.22,149.22,1561.32
284,20240722,2,3,5,5,390.92,240.22,1954.6
285,20240314,19,115,1,9,39.46,29.68,355.14
286,20241103,45,126,1,4,171.01,98.14,684.04
287,20241020,31,389,5,5,480.11,318.66,2400.55
288,20241228,23,390,5,9,165.1,133.98,1485.9
289,20240826,7,339,3,4,312.82,174.79,1251.28
290,20240221,16,137,4,10,262.34,199.08,2623.4
291,20240703,24,211,4,2,468.63,352.71,937.26
292,20240613,13,202,7,5,85.57,55.3,427.85
293,20241104,32,345,4,5,153.2,89.44,766.0
294,20240523,45,299,7,4,431.88,250.8,1727.52
295,20240430,10,363,2,10,334.77,281.46,3347.7
296,20240130,12,221,2,5,273.81,206.2,1369.05
297,20241101,6,368,4,9,200.48,132.88,1804.32
298,20241003,33,298,1,3,208.6,166.89,625.8
299,20240116,21,296,6,4,467.79,271.79,1871.16
300,20240607,13,265,4,5,337.18,198.29,1685.9
301,20240624,10,135,3,6,464.9,283.25,2789.4
302,20240620,4,244,5,3,486.23,378.81,1458.69
303,20241202,22,143,1,4,275.77,185.5,1103.08
304,20240225,31,260,4,7,306.9,227.96,2148.3
305,20240422,11,102,8,3,329.9,204.45,989.7
306,20240307,1,320,6,8,420.39,329.25,3363.12
307,20240330,22,229,5,5,331.24,261.85,1656.2
308,20241127,31,285,5,10,61.75,41.62,617.5
309,20241210,16,89,4,3,471.5,288.93,1414.5
310,20240117,12,317,8,9,332.16,245.47,2989.44
311,20240819,7,322,8,5,435.61,273.06,2178.05
312,20240326,34,59,4,1,215.25,127.96,215.25
313,20240311,39,141,8,8,239.98,176.32,1919.84
314,20240416,35,272,1,3,345.98,243.53,1037.94
315,20240312,24,350,3,2,389.32,305.63,778.64
316,20240628,33,295,3,6,43.84,27.96,263.04
317,20241230,18,189,6,8,206.63,127.61,1653.04
318,20240802,2,120,5,3,386.08,286.53,1158.24
319,20240921,17,364,4,7,496.16,377.24,3473.12
320,20240629,32,350,3,1,10.76,7.25,10.76
321,20240106,30,359,5,2,136.08,92.9,272.16
322,20240131,45,122,3,8,235.1,138.02,1880.8
323,20240408,45,175,4,1,115.36,79.69,115.36
324,20240330,11,98,3,4,18.33,15.37,73.32
325,20241103,1,382,8,6,272.07,158.92,1632.42
326,20241104,13,347,6,1,326.45,235.17,326.45
327,20241108,40,70,2,10,210.95,117.19,2109.5
328,20240821,37,99,8,6,188.09,121.81,1128.54
329,20240722,5,221,6,4,492.88,383.63,1971.52
330,20240825,8,167,3,10,241.38,173.83,2413.8
331,20240528,26,184,5,6,400.04,229.76,2400.24
332,20240902,30,148,2,7,147.15,100.88,1030.05
333,20241017,45,270,1,1,415.94,238.63,415.94
334,20241006,34,360,4,2,412.73,273.25,825.46
335,20240812,10,367,7,1,137.51,107.35,137.51
336,20240122,2,183,3,6,329.65,206.85,1977.9
337,20240922,29,332,4,9,342.6,235.03,3083.4
338,20240514,25,278,8,10,224.09,156.89,2240.9
339,20240929,42,79,8,6,388.02,312.74,2328.12
340,20240716,26,318,4,1,156.91,92.02,156.91
341,20241118,23,141,1,7,244.71,175.0,1712.97
342,20240503,14,252,6,7,495.13,276.9,3465.91
343,20241206,4,289,6,6,93.44,54.01,560.64
344,20241105,40,378,8,8,78.15,48.16,625.2
345,20240501,38,380,8,6,75.39,57.74,452.34
346,20240625,8,322,6,8,499.06,280.64,3992.48
347,20240713,32,203,1,5,84.16,70.15,420.8
348,20241008,17,161,2,2,99.17,67.27,198.34
349,20240909,20,177,6,1,348.92,279.69,348.92
350,20241107,39,381,5,10,380.95,234.88,3809.5
351,20240515,38,83,4,5,265.9,173.19,1329.5
352,20240703,9,210,4,4,491.42,377.46,1965.68
353,20240606,14,272,6,3,24.26,16.1,72.78
354,20241128,37,10,4,1,312.31,219.32,312.31
355,20240421,42,254,2,10,305.2,241.96,3052.0
356,20240802,4,105,8,1,164.02,122.25,164.02
357,20240213,38,113,3,3,450.22,360.52,1350.66
358,20241107,23,249,3,5,278.68,160.5,1393.4
359,20240520,27,4,1,4,126.94,92.97,507.76
360,20240504,4,63,4,1,48.74,35.6,48.74
361,20240801,31,182,8,4,58.02,42.48,232.08
362,20240701,31,234,2,8,449.18,326.39,3593.44
363,20241106,30,44,2,3,128.9,98.89,386.7
364,20240713,36,145,2,9,453.97,364.63,4085.73
365,20240708,43,124,1,4,64.46,39.89,257.84
366,20240208,39,214,5,1,492.05,286.06,492.05
367,20240109,34,121,3,2,417.51,238.9,835.02
368,20240525,45,1,7,9,62.53,37.36,562.77
369,20241231,31,213,4,5,47.6,35.55,238.0
370,20241201,31,340,6,10,402.7,271.8,4027.0
371,20240818,25,234,1,8,43.64,28.58,349.12
372,20240818,35,145,3,1,134.78,110.92,134.78
373,20240523,4,193,4,4,401.62,329.35,1606.48
374,20240305,23,57,1,8,454.25,323.27,3634.0
375,20240104,20,95,4,1,384.99,264.7,384.99
376,20240504,42,176,4,10,445.5,281.17,4455.0
377,20240425,4,237,4,2,282.14,194.1,564.28
378,20240311,29,195,5,8,390.91,263.19,3127.28
379,20240404,9,386,7,9,175.37,96.82,1578.33
380,20240110,40,255,7,6,393.68,306.11,2362.08
381,20240810,39,10,1,9,341.47,232.74,3073.23
382,20241205,11,210,6,9,289.54,178.6,2605.86
383,20240909,40,234,8,8,496.19,372.08,3969.52
384,20240613,23,18,7,8,237.54,162.55,1900.32
385,20240602,44,155,3,4,311.53,200.66,1246.12
386,20240422,33,349,7,3,257.4,159.39,772.2
387,20240222,2,143,7,9,133.95,76.05,1205.55
388,20240807,10,183,3,3,168.53,118.12,505.59
389,20240726,19,89,7,5,489.5,324.36,2447.5
390,20240103,10,31,6,6,199.09,111.91,1194.54
391,20240601,6,128,7,4,341.31,270.91,1365.24
392,20240411,45,310,6,4,285.71,226.42,1142.84
393,20240303,40,394,7,6,445.45,310.48,2672.7
394,20240914,20,265,8,4,380.06,304.68,1520.24
395,20240711,10,333,7,10,44.92,31.19,449.2
396,20240819,9,260,4,2,180.94,108.69,361.88
397,20240918,42,264,5,4,357.4,252.07,1429.6
398,20241225,15,171,6,9,84.87,54.64,763.83
399,20241020,1,25,7,5,254.2,174.31,1271.0
400,20240815,18,165,4,8,162.3,136.53,1298.4
401,20241117,21,346,3,7,37.05,24.33,259.35
402,20240623,29,215,6,4,498.59,306.52,1994.36
403,20241226,16,305,8,8,465.04,273.71,3720.32
404,20241005,42,21,8,3,375.03,305.72,1125.09
405,20240826,29,81,2,8,104.51,57.95,836.08
406,20241126,45,120,8,2,494.32,406.45,988.64
407,20240707,17,144,7,7,317.24,180.36,2220.68
408,20240920,30,396,2,2,483.21,374.87,966.42
409,20240414,17,185,1,9,26.08,16.64,234.72
410,20241218,32,265,2,7,90.87,56.79,636.09
411,20240816,34,258,8,1,340.24,205.5,340.24
412,20241013,15,168,7,2,454.05,268.05,908.1
413,20240617,43,387,5,2,92.01,52.43,184.02
414,20241113,39,89,6,10,161.96,96.61,1619.6
415,20240128,41,14,4,6,296.15,215.17,1776.9
416,20240211,10,299,8,3,499.83,360.33,1499.49
417,20240704,33,262,2,3,400.83,254.26,1202.49
418,20240925,5,105,3,1,462.16,348.45,462.16
419,20241023,5,348,2,3,339.13,264.82,1017.39
420,20240610,44,65,7,9,439.3,370.79,3953.7
421,20240825,7,101,5,6,255.99,174.57,1535.94
422,20240721,39,62,6,4,66.46,44.02,265.84
423,20241217,20,75,8,1,356.23,299.93,356.23
424,20240827,14,292,2,4,302.73,252.07,1210.92
425,20240601,4,282,8,4,245.25,203.09,981.0
426,20241220,31,258,2,2,141.12,103.39,282.24
427,20240209,33,345,7,7,393.18,289.11,2752.26
428,20241226,22,28,6,7,411.1,340.55,2877.7
429,20240226,37,249,7,10,185.27,128.57,1852.7
430,20240415,15,47,2,4,464.24,285.06,1856.96
431,20241027,25,383,8,3,188.02,158.99,564.06
432,20240925,13,254,7,9,58.24,46.74,524.16
433,20241221,27,304,1,4,87.43,49.56,349.72
434,20241001,7,229,5,7,249.79,145.81,1748.53
435,20240821,22,154,7,8,44.53,36.28,356.24
436,20240506,25,275,4,9,360.61,230.91,3245.49
437,20240102,26,335,4,4,398.57,302.48,1594.28
438,20240215,21,72,3,7,276.99,162.14,1938.93
439,20240418,29,349,5,2,447.21,268.84,894.42
440,20240115,24,291,8,8,477.37,369.58,3818.96
441,20240704,13,35,5,1,226.55,191.16,226.55
442,20241011,10,375,6,7,49.12,34.42,343.84
443,20241218,30,73,7,3,119.48,67.25,358.44
444,20240628,43,241,7,5,330.52,205.02,1652.6
445,20241116,34,52,4,1,205.86,126.36,205.86
446,20241226,29,79,7,7,344.08,285.79,2408.56
447,20241110,42,258,3,5,335.03,226.39,1675.15
448,20240619,41,272,5,7,304.66,254.18,2132.62
449,20240429,23,275,3,4,83.13,67.16,332.52
450,20241223,5,138,8,1,146.53,100.41,146.53
451,20240329,29,329,6,6,192.04,107.05,1152.24
452,20240530,29,20,5,7,413.09,347.77,2891.63
453,20240128,13,342,4,7,342.7,189.52,2398.9
454,20241017,39,121,5,3,324.24,261.61,972.72
455,20240825,40,249,7,8,337.71,227.61,2701.68
456,20240201,15,363,3,6,254.09,162.72,1524.54
457,20240322,22,103,7,3,24.62,16.56,73.86
458,20240722,9,165,3,2,104.55,68.7,209.1
459,20240716,9,332,2,4,74.45,56.34,297.8
460,20241020,12,346,6,1,36.68,26.48,36.68
461,20240407,17,95,6,8,163.14,102.3,1305.12
462,20241204,13,204,3,1,394.93,279.71,394.93
463,20240611,7,134,6,1,61.99,41.63,61.99
464,20241028,21,207,6,2,60.15,49.7,120.3
465,20240328,29,152,7,4,66.51,54.39,266.04
466,20240114,15,3,8,1,138.56,101.87,138.56
467,20240121,25,370,7,7,105.09,88.23,735.63
468,20240516,13,255,4,2,11.91,7.89,23.82
469,20241214,32,185,2,9,141.87,81.77,1276.83
470,20240118,30,44,1,6,498.17,281.12,2989.02
471,20240515,44,29,5,1,171.56,137.25,171.56
472,20240209,3,192,6,5,109.57,72.87,547.85
473,20241206,39,260,6,2,250.38,202.33,500.76
474,20240904,16,105,1,10,118.54,81.51,1185.4
475,20241006,3,298,6,6,282.02,156.06,1692.12
476,20240918,32,157,7,9,203.32,144.07,1829.88
477,20240828,8,5,6,4,448.94,326.99,1795.76
478,20241010,8,215,5,2,464.32,318.27,928.64
479,20240103,45,73,1,3,357.97,286.88,1073.91
480,20241112,10,6,4,5,111.77,83.07,558.85
481,20240927,25,53,6,8,239.58,157.98,1916.64
482,20240927,10,114,5,5,156.18,119.59,780.9
483,20240523,6,206,5,10,400.15,258.45,4001.5
484,20241020,1,396,5,4,19.44,15.58,77.76
485,20240519,1,88,5,3,332.93,211.09,998.79
486,20240118,22,23,3,5,165.0,123.75,825.0
487,20241128,20,77,5,2,243.1,163.98,486.2
488,20240326,2,128,3,7,164.88,95.69,1154.16
489,20240207,16,83,4,2,185.57,137.12,371.14
490,20240815,13,129,4,7,338.81,225.28,2371.67
491,20240326,26,388,6,4,299.77,221.91,1199.08
492,20241110,45,152,8,4,125.82,89.58,503.28
493,20240611,32,254,6,7,26.6,14.96,186.2
494,20240102,42,274,2,8,428.73,262.17,3429.84
495,20241214,9,53,6,10,248.69,189.04,2486.9
496,20240707,10,100,3,3,311.27,214.87,933.81
497,20240406,34,167,1,9,246.81,170.28,2221.29
498,20240904,14,185,2,9,311.38,171.48,2802.42
499,20240713,39,6,8,10,315.35,202.09,3153.5
500,20240111,21,258,4,10,12.45,9.35,124.5
501,20241005,10,121,2,8,268.96,219.5,2151.68
502,20240526,38,129,2,3,253.54,183.11,760.62
503,20240913,25,242,6,7,52.43,37.34,367.01
504,20241123,37,380,7,8,374.21,258.61,2993.68
505,20240811,21,346,3,3,121.75,91.74,365.25
506,20240902,6,392,1,9,31.99,25.25,287.91
507,20240403,31,166,3,8,402.56,248.06,3220.48
508,20240327,6,48,6,5,433.24,331.08,2166.2
509,20240531,30,87,1,9,124.14,77.36,1117.26
510,20241108,19,138,3,1,345.34,193.23,345.34
511,20240710,36,121,1,7,7.45,4.26,52.15
512,20240507,40,84,4,8,361.97,204.14,2895.76
513,20241012,19,61,2,1,235.09,149.06,235.09
514,20241108,40,75,2,5,397.28,233.66,1986.4
515,20241126,5,264,1,6,199.55,114.85,1197.3
516,20240419,5,197,6,3,178.78,106.24,536.34
517,20240916,45,16,4,9,421.19,236.48,3790.71
518,20240804,26,226,8,7,24.13,15.76,168.91
519,20240613,21,337,4,3,97.65,77.81,292.95
520,20240525,8,171,2,5,209.0,149.67,1045.0
521,20240211,14,128,2,2,300.19,170.96,600.38
522,20240410,31,110,8,1,7.53,4.99,7.53
523,20240720,37,152,5,8,289.7,196.69,2317.6
524,20241120,42,112,3,10,192.35,115.74,1923.5
